proposition,dominant_topic,topic_name,clean
"Il faut redonner des couleurs à nos campagnes en cultivant les plantes locales, pour notre alimentation et l'auge des animaux",3,Cultiver soi-même,redonner couleur campagne cultiver plante local alimentation auge animal
Il faut manger des produits de nos agriculteurs et maraîchers locaux,7,Circuit court,manger agriculteur maraîcher local
Il faut proposer des fruits et des légumes équitables français,7,Circuit court,proposer fruit légume équitable français
Il faut manger moins de protéines animales,0,Consommation Viande,manger protéine animal
Il faut mobiliser les écoles ou les centres de loisirs pour partir à la découverte des producteurs locaux ,8,Alimentation des enfants,mobiliser école centre loisir partir découverte producteur local
Il faut la priorité à nos agriculteurs avant l'UE,1,Agriculture biologique,priorité agriculteur ue
Il faut préciser le mode d'élevage des animaux sur tous les produits y compris transformés (biscuits à l'œuf de poules en cage ou plein air),0,Consommation Viande,préciser mode élevage animal transformer biscuit œuf poule cage air
Il faut manger moins de viande mais choisir la qualité !,4,Habitude de consommation alimentaire,manger viande choisir qualité
"Il faut un logo sur les aliments trop gras, trop sucré ... pour nous permettre de mieux les identifier",2,Produits transformés,logo aliment gras sucrer permettre mieux identifier
"Il faut proposer des promotions sur les produits frais, les fruits et légumes",4,Habitude de consommation alimentaire,proposer promotion frais fruit légume
Il faut sensibiliser davantage sur les conséquences de notre consommation actuelle et encourager les solutions d'aujourd'hui,8,Alimentation des enfants,sensibiliser davantage conséquence consommation actuel encourager solution
Il faut adapter la TVA des produits consommés à la distance de production et ainsi favoriser une production locale à faible impact carbone.,7,Circuit court,adapter tva consommer distance production favoriser production local faible impact carbon
"Il faut se responsabiliser, agir et cesser de rejeter la faute sur les autres",5,Gaspillage alimentaire,responsabiliser agir cesser rejeter faute
"Il faut faire comprendre aux enfants les conséquences de leurs choix. Éthiques, écologiques, sociales, ...",8,Alimentation des enfants,comprendre enfant conséquence choix éthique écologique sociale
Il faut un meilleur système de retraite pour les agriculteurs et leurs épouses ,7,Circuit court,meilleur système retraite agriculteur épouse
Il faut arrêter de laisser l'agroalimentaire décider des normes sanitaires afin qu'ils ne tuent plus les petites exploitations ,1,Agriculture biologique,arrêter laisser agroalimentaire décider norme sanitaire tuer petit exploitation
Il faut ouvrir nos jardins et proposer une parcelle pour cultiver les légumes de saison aux personnes qui ont envie de travailler la terre. ,3,Cultiver soi-même,ouvrir jardin proposer parcelle cultiver légume saison al envier travailler terre
"Il faut protéger les animaux, les insectes, pour une meilleure qualité des aliments",1,Agriculture biologique,protéger animal insecte meilleur qualité aliment
"Il faut arrêter l'élevage et la production industrielle de viande, cause de pollution massive",0,Consommation Viande,arrêter élevage production industriel viande cause pollution massif
Il faut taxer les alcools forts aussi nocifs que le tabac,9,Rémunération des agriculteurs,taxer alcool fort nocif tabac
Il faut enlever les colorants et les additifs qui ont des conséquences sur la santé et sont souvent inutiles,2,Produits transformés,enlever colorant additif conséquence santé souvent inutile
Il faut acheter et consommer de façon bien réfléchie. Éviter de se laisser aller par les miroirs aux alouettes qui engendrent un surcoût ,5,Gaspillage alimentaire,acheter consommer réfléchir éviter laisser aller miroir alouette engendrer surcoût
"Il faut indiquer la provenance des aliments et les tracer par un indice ou une couleur : kilomètres, jours de transport, taxe CO2",2,Produits transformés,indiquer provenance aliment tracer indice couleur kilomètre jour transport tax co2
Il faut davantage de diétothérapie en s'inspirant de la médecine traditionnelle chinoise,1,Agriculture biologique,davantage diétothérapie inspirer médecine traditionnel chinois
"Il faut vendre à prix cassé les fruits et légumes peu présentables ou trop mûrs, pour éviter de les jeter",5,Gaspillage alimentaire,vendre prix casser fruit légume présentable mûr éviter jeter
"Il faut faire découvrir les aliments bruts, dès le plus jeune âge",8,Alimentation des enfants,découvrir aliment brut jeune âge
Il faut baisser le prix des produits de première nécessité,9,Rémunération des agriculteurs,baisser prix nécessité
Il faut que le label bio soit davantage éthique,1,Agriculture biologique,label bio davantage éthique
"Il faut éviter les aliments empoisonnés par les pesticides, les fast-foods et autres repas tout prêts",4,Habitude de consommation alimentaire,éviter aliment empoisonner pesticide fastfood repas prêt
Il faut modifier les choix des dates de péremption et des dates limites de consommation qui sont souvent erronées et poussent au gaspillage,5,Gaspillage alimentaire,modifier choix date péremption date limite consommation souvent erroné pousser gaspillage
Il faut savoir que le Bio n'est pas la solution à tout,7,Circuit court,savoir bio solution
Il faut que chacun puisse manger à son rythme et en fonction de son système digestif. Nous n'avons pas tous les mêmes besoins alimentaires,8,Alimentation des enfants,manger rythme fonction système digestif besoin alimentaire
Il faut éduquer depuis l'école élémentaire avec l'aide de spécialistes,8,Alimentation des enfants,éduquer école élémentaire aide spécialiste
Il faut  privilégier les produits Français,7,Circuit court,privilégier français
Il faut manger le plus localement possible,7,Circuit court,manger localement possible
"Il faut manger diversifié sachant que nous ne digérons pas les légumes vert et qu'il faut manger des acides gras essentiels, protéines ...",4,Habitude de consommation alimentaire,manger diversifier savoir digérer légume vert manger acide gras essentiel protéine
Il faut taxer les produits importés afin d'inciter les gens à manger local et surtout de saison,7,Circuit court,taxer importer inciter manger local saison
"Il faut créer son potager et poulailler, proposer des parcelles de terrain à louer pour développer l'autonomie alimentaire ",3,Cultiver soi-même,créer potager poulailler proposer parcelle terrain louer développer autonomie alimentaire
Il faut apprendre à cuisiner,4,Habitude de consommation alimentaire,apprendre cuisiner
Il faut promouvoir et aider les agriculteurs qui veulent faire du Bio ou se convertir au Bio à trouver les terres nécessaires ,1,Agriculture biologique,promouvoir aider agriculteur vouloir bio convertir bio trouver terre nécessaire
Il faut ne plus proposer de fruits et légumes en provenance d’Espagne,7,Circuit court,proposer fruit légume provenance despagne
Il faut pouvoir acheter chaque aliment à l'unité pour éviter le gâchis,5,Gaspillage alimentaire,acheter aliment unité éviter gâchis
"Il faut supprimer tous les emballages en pratique pour des emballages réutilisables et solides
",6,Emballage alimentaire,supprimer emballage pratique emballage réutilisable solide
"Il faut supprimer le sucre dans toutes les préparations salées, et le réduire dans toutes les préparations sucrées ",2,Produits transformés,supprimer sucre préparation saler réduire préparation sucrer
"Il faut favoriser les AMAP, les petits marchés des producteurs, encourager les commerçants qui vendent les produits locaux et de saison",7,Circuit court,favoriser amap petit marché producteur encourager commerçant vendre local saison
Il faut que chaque produit/aliment vendu soit transparent sur son entière composition et engrais chimiques utilisés dans l'exploitation,1,Agriculture biologique,produitaliment vendre transparent entier composition engrai chimique utiliser exploitation
Il faut imposer aux grands groupes une transparence sur les produits,2,Produits transformés,imposer grand groupe transparence
Il faut arrêter d'utiliser les pesticides pour traiter les fruits et légumes ,1,Agriculture biologique,arrêter utiliser pesticide traiter fruit légume
